A,አንድ
Before,ከ + verbal noun + በፊት (አስቀድሞ) 
Beforehand,አስቀድሞ
Befriend,ጓዳኛ ሆነ
Beg,ለመነ
Beget,ወለደ 
Beggar,ለማኝ
Begin,ጀመረ 
Beginner,ጀማሪ
Beginning,የመጀመሪያ 
Begrudge,ቀና 
Beguile,አታለለ 
Behalf,ስለ 
Behave,መልካም ምግባር ፈጸመ 
Behaviour,ጠባይ 
Behest,መግባባት
Behind,ከ...በኋላ 
Behold,አየ
Beholden,ውለታው ተሰማው
Behove,ተገቢ ነው 
Being,ፍጡር 
Belabour,መላልሶ አነሳ 
Belated,የዘገየ
Belch,አገሳ 
Belie,ሸፈነ 
Belief,እምነት
Believe,አመነ 
Believer,አማኝ
Belittle,አንኳሰሰ 
Bell,ደወል 
Bellicose,የጠበኛነት
Belligerence,ጠብ መፈለግ
Belligerent,ጠብ ወዳድ
Bellow,አጓራ
Belly,ሆድ
Bellyache,የቁርጠት ህመም
Belong,የ + noun(pronoun) + ነው 
Bend,መጠምዘዝ 
Beneath,ከ...ሥር 
Benediction,ቡራኬ
Benefactor,ደጋፊ 
Beneficial,ጠቃሚ
Beneficiary,ተጠቃሚ 
Benefit,ጥቅም 
Benevolent,በጎ አድራጊ 
Benign,ተስማሚ 
Benumb,አደነዘዘ
Bequeath,አወረሰ
Bequest,ውርስ 
Berate,ገሠጸ
Bereave,አሳጣ
Berry,ፍሬ
Berserk,መላ ቅጡ አጣ
Berth,(የ)መኝታ ክፍል
Beseech,ለመነ
Beset,በዛ(በት) 
Beside,ከ...ጐን 
Besides,ከ...ሌላ 
Besiege,ከበበ
Besmirch,አጎደፈ
Bespeak,አሳየ
Bestial,የአውሬነት
Bestow,ሸለመ 
Bet,ተወራረደ 
Betray,ከዳ 
Betroth,አሳጨ
Better,የተሻለ
Betterment,መሻሻል
Between,በ...መካከል
Beverage,መጠጥ
Bewail,አለቀሰ
Beware,ተጠናቀቀ
Bewilder,ግራ አጋባ
Bewitch,መተት አደረገበት 
Beyond,ከ...ባሻገር 
Bias,አድልዎ
Bibliography,አንድን አርእስት የሚመለከቱ መጽሐፎች ዝርዝር
Biceps,የክንድ ጡንቻ
Bicycle,ቢስክሌት 
Bid,ጠራ 
Bide,አጋጣሚ ጊዜ ጠበቀ 
Biennial,በየሁለት ዓመት የሚደረግ
Bier,ርብራብ
Bifurcate,ተለያየ
Big,ትልቅ 
Bigamy,ሁለት ሚስቶች በአንድ ጊዜ ማግባት
Bigot,የራሱ ያልሆነ ማንኛቸውንም ዓይነት ሐሳብ የማይቀበል
Bilateral,የጋራ
Bile,አሞት
Bill,ሒሳብ 
Billboard,የንግድ ማስታወቂያ ሰሌዳ
Billion,ሺ ሚሊዮን
Bimonthly,በየሁለት ወሩ የሚታተም
Bind,አሰረ 
Binder,ጠራዥ
Bindery,የመጠረዣ ክፍል
Binding,ጥራዝ
Binoculars,አቅራቢ መነጽር
Biography,የህይወት ታሪክ
Biological,የተፈጥሮ ሳይንስ
Biology,የስነ ህይወት ጥናት
Bird,ወፍ
Birth,መወለድ 
Birthday,የልደት ቀን
Birthmark,ማርያም ሳመችው
Birthplace,የተወለደበት ስፍራ
Biscuit,ብስኩት
Bishop,ጳጳስ
Bit,ትንሽ
Bitch,ሴት ውሻ
Bite,ነከሰ 
Biting,የሚጋረፍ 
Bitter,መራራ 
Biweekly,በየሳምንት
Bizarre,ግራ የሆነ
Black,ጥቁር 
Blackboard,ጥቁር ሰሌዳ
Blacken,አጠቈረ 
Blacklist,የቅጣት መዝገብ
Blackout,የከተማ መጨለም
Blacksmith,ቀጥቃጭ
Bladder,ፊኛ
Blade,ስለት 
Blame,ወቀሰ 
Blameless,እንከን የሌለበት
Bland,ቅመም የሌለው 
Blandish,አባበለ
Blank,ባዶ
Blanket,ብርድ ልብስ 
Blare,ጮክ ብሎ ነገረ 
Blaspheme,ስም አጐደፈ 
Blasphemy,የፈጣሪን ስም በከንቱ ማንሳት
Blast,የፈንጂ ጩኸት 
Blatant,ለፍላፊ 
Blaze,ቃጠሎ 
Blazon,ነዛ
Bleach,ጸሐይ ላይ በማድረግ ወይም ልዩ ኬሚካል በበጨመር ማንጣት
Bleary,ፈዘዘ
Bleed,ደማ 
Blemish,ጉድለት 
Blend,ቀየጠ
Bless,ባረከ 
Blessed,ቅዱስ 
Blessing,ቡራኬ 
Blight,መቅሠፍት
Blind,ዓይነ ስውር 
Blindfold,ዓይን ሸፈነ
Blink,አርገበገበ 
Bliss,ተድላና ደስታ
Blissful,አስደሳች
Blithe,ፍልቅልቅነት
Blizzard,ነፋስ የተቀላቀለበት በጣም ከፍተኛ ቅዝቃዜና ኀይለኛነት ያለው በረዶ
Bloat,ነፋ
Block,ዘጋ 
Blockade,መዝጋት
Blond,ነጣ ያለ
Blood,ደም 
Bloodless,ደም ያልፈሰሰበት
Bloodshed,የደም መፋሰስ
Bloodstream,የደም ሥር
Bloodthirsty,ደም የተጠማ
Bloody,ደም የተነከረ 
Bloom,አበበ 
Blossom,አበበ 
Blot,አመጠጠ 
Blotter,የቀለም ማምጠጫ
Blouse,ሸሚዝ
Blow,ነፋ 
Blubber,ተነፋረቀ
Blue,ሰማያዊ 
Blueprint,ንድፍ
Bluff,አታለለ 
Blunder,ተሳሳተ
Blunt,ደነዝ 
Blur,ከለለ 
Blush,አፈረ ፊቱ ፍም መሰሰለ
Bluster,ደነፋ
Board,ተሳፈረ
Boarder,አዳሪ
Boarding-house,ምግብና መኝታ የሚገኝበት ስፍራ
Boarding-school,አዳሪ ትምህርት ቤት
Boast,ፎከረ 
Boastful,ጉራውን ነዛ
Boat,መርከብ 
Boating,በጀልባ መሄድ
Bode,ምልክት ነበረ
Bodily,የሰውነት
Body,ሰውነት 
Bodyguard,ዐጃቢ
Bogus,የሃሰት
Boil,አፈላ 
Boiler,የማፊያ ጋን
Boiling,ገረረ
Boisterous,ሁካታ የበዛበት
Bold,ደፋር 
Bolt,ቀረቀረ
Bomb,በቦምብ ደበደበ
Bombard,በቦምብ ደበደበ
Bombast,ጉራ
Bond,ሰንሰለት 
Bondage,ባርነት
Bondsman,ገባር
Bone,ከላለሰ
Bonfire,ደመራ 
Bonus,ጉርሻ
Bony,አጥንታም
Boo,በጩሀት ተቃወመ
Book,መዘገበ 
Bookcase,የመፅሃፍ ሣጥን
Bookish,የመፅሃፍ ቀበኛ
Bookkeeper,ሒሳብ ያዥ
Booklet,ትንሽ መፅሃፍ
Bookstore,የመፅሃፍ መደብር
Bookworm,የመፅሃፍ ቀበኛ የመፅሃፍ ቁራኛ
Boom,አጓራ 
Boon,በጣም ጠቀመ
Boor,ስድ አደግ
Boost,ወደ ላይ ገፋ 
Boot,ቦት ጫማ
Booth,ዳስ 
Booty,ምርኮ
Border,ተዋሰነ
Borderline,ድንበር
Bore,አሰለቸ 
Boredom,መሰልቸት
Born,በተፈጥሮ
Borrow,ተበደረ 
Bosom,ጡት 
Boss,አዘዘ
Botany,ያዝርእትና ያትክልት ጥናት
Both,ሁለቱም ሁለት
Bother,አስቸገረ 
Bothersome,አሳሳቢ
Bottle,ጠርሙስ
Bottleneck,ጭንቅንቅ ፈጠረ
Bottom,ስረ ነገር 
Bough,ቅርንጫፍ
Boulder,ትልቅ ቋጥኝ
Bounce,አነጠረ
Bound,አዋሰነ
Boundary,ድንበር ወሰን
Boundless,ወሰን የሌለው
Bounteous,የተትረፈረፈ
Bountiful,ለጋስ
Bounty,ችሮታ 
Bouquet,እቅፍ
Bout,ውድድር ግጥሚያ
Bow,እጅ ነሣ
Bowel,አንጀት
Bowl,ጎድጓዳ ሳሕን
Bowstring,የቀስት መሳቢያ የከስት መወጠርያ
Box,በሳጥን አስገባ 
Boxer,ቡጢኛ 
Boy,ወንድ 
Boycott,ተካፋይ ከመሆን ተቆጠበ 
Boyfriend,የከንፈር ወዳጅ
Brace,አነቃቃ 
Bracelet,አምባር
Bracket,መደገፊያ 
Brackish,ጨው ጨው የሚል
Brag,ጉራ ነዛ
Braid,አሸመ ጎነጎነ
Brain,አንጎል
Braise,በመጠኑ ጠበሰ
Brake,ፍሬን ያዘ
Branch,ተከፋፈለ
Brand,ለምልክት ተኮሰ(ተተኮሰ) 
Brandish,አቆመዘመዘ
Brash,የብልግና
Brass,ነሓስ
Brat,ቀበጥ
Brave,ተቋቋመ 
Bravery,ከፍ ባለ ገብዝና
Bravo,ጎሽ
Brawl,ተራበሸ
Bray,አናፋ
Brazen,ከነሓስ የተሰራ 
Brazier,የከሰል ማንደጃ ብረት
Breach,ጉድባ 
Bread,እንጀራ 
Breadth,ስፋት
Break,ሰበረ 
Breakable,ተሰባሪ
Breakage,የተሰበሩ እቃዎች
Breakdown,ብልሽት 
Breakfast,ቁርስ
Breakup,መለያየት
Breast,ደረት 
Breath,ትንፋሽ
Breathe,ተነፈሰ 
Breeches,ጠባብ ሱሪ
Breed,አረባ 
Breeding,አሰዳደግ 
Breeze,የነፋስ ሸውታ ለስላሳ ንፋስ
Brevity,ማጠር
Brew,ጠመከ 
Brewery,የቢራ ፋብሪካ
Bribe,በጉቦ ደለለ ጉቦ ሰጠ በገንዘብ አባበለ
Brick,ጡብ
Bricklayer,ጡብ ገንቢ
Bridal,የሙሽራ
Bride,ሙሽራ
Bridegroom,ሙሽራ
Bridge,ድልድይ ሠራ 
Bridgehead,ከዋናው ዘማች ቀደም በሚሄድ ጓድ በጠላት ጠረፍ ላይ የሚሠራ የጦር አቋም
Bridle,ለጎመ 
Brief,የመምርያ መግለጫ ሰጠ
Briefcase,ቦርሳ
Brigade,ብርጌድ
Brigand,ቀማኛ
Bright,ደማቅ 
Brighten,አደመቀ 
Brilliance,ማንፀባረቅ 
Brilliant,ደማቅ 
Brim,አፍ 
Bring,አምጣ 
Brink,ጠርዝ 
Brisk,ፈጠን ያለ 
Bristle,ተገጠገጠ 
Brittle,በቀላሉ የሚሰበር
Broach,አነሣ
Broad,ሰፊ 
Broadcast,በሬድዮ አስተላለፈ 
Broaden,አሰፋ 
Broadside,በጎን
Brocade,የረቀቀ ጉንጉን
Brochure,መግለጫ ፅሑፍ
Broil,ጠበሰ
Broke,ባዶ ኪሱን ነው
Broken,የተሰባባረ ሰባራ 
Bronze,ነሓስ
Brood,ታቀፈ 
Brook,ጅረት
Broom,መጥረጊያ
Brother,ወንድም
Brotherhood,ወንድማማችነት 
Brow,ግንባር
Brown,ቡናማ ቡና ዓይነት
Browse,ጋጠ 
Bruise,ሰንበር አወጣ 
Brunt,ከፍተኛ ኅይል
Brush,ቦረሸ 
Brusque,ቁርጥ ያለ
Brutal,ጨካኝ 
Brutalize,አውሬ አደረገ
Brute,አውሬ 
Bubble,ተፍለቀለቀ
Buck,ተቃወመ
Bucket,ባልዲ
Buckle,ቆለፈ
Bud,እምቡጥ ያዘ
Buddy,የቅርብ ጓደ
Budge,አነቃነቀ
Budget,ባጀት ወጪና ገቢ
Buff,ለስላሳ የሆነ ከጎሽ ቆዳ የተሠራ ጠንካራ ቆዳ
Buffalo,ጎሽ
Buffer,የግጭት መከላከያ
Buffet,አንገላታ
Bug,ትል 
Buggy,አንድ ሰው ብቻ የሚይዝ ጋሪ
Build,ሠራ 
Builder,የሠራ 
Building,ሕንፃ
Bulb,አምፑል 
Bulge,አሳበጠ
Bulk,አብዛኛ 
Bulky,መጠኑ ትልቅ የሆነ 
Bull,ኮርማ
Bullet,ጥይት
Bulletin,መግለጫ 
Bulletproof,ጥይት የማይዘልቀው
Bully,አገጣበረ
Bulwark,ግድብ 
Bump,ገጨት አደረገ 
Bumper,ፈረፋንጎ
Bumpy,አባጣ ጎርባጣ 
Bunch,ጭብጥ 
Bundle,አጨቀ አጎረ 
Bungalow,አነስተኛ ቤት
Bunk,ቆጥ ቢጤ
Bunker,መከለያ ምሽግ
Buoyancy,የመንሳፈፍ ኅይል 
Buoyant,ተንሳፋፊ ነገር
Burden,ጫነ ጫነ(በት) 
Bureau,ቢሮ 
Burglar,ሰርሳሪ ሌባ የቤት ሰርሳሪ
Burglary,ቤት ሰብሮ የመግባት ወንጀል
Burial,ቀብር 
Burly,ጠብደል
Burn,አቃጠለ ፈጀ 
Burning,የሚነድ
Burp,አገሣ
Burrow,ቆፈረ
Burst,በጠሰ ሰበረ 
Bury,ቀበረ (ተቀበረ)
Bus,አውቶቡስ
Bush,ቁጥቋጦ 
Bushel,እህ፡ ፍራ ፍሬና አታክልት የሚለኩበት መስፈሪያ
Bushy,ዕጅብ ያለ 
Business,ንግድ 
Businesslike,ቀልጣፋ
Businessman,ነጋዴ
Bust,ሰበረ
Bustle,ሽርጉድ አለ 
Busy,ሥራ የሚበዛበት 
Busybody,ሁልገብ
But,ነገር ግን 
Butcher,አረደ 
Butler,ዋና የቤት አሽከር
Butt,ቁራጭ 
Butter,ቅቤ ቀባ 
Butterfly,ቢራቢሮ
Buttermilk,አፈራ
Buttock,ቂጥ
Button,ቆለፈ
Buttonhole,የቁልፍ ቀዳዳ
Buttress,መደገፊያ
Buxom,ዳሌያም
Buy,ገዛ 
Buyer,ገዢ
Buzz,ጥዝ አለ 
Buzzard,ጥንብ አንሳ
By,በ 
Bygone,የቀድሞ
Bypass,በ  ጎን አለፈ 
Bystander,ተመልካች
Cab,ታክሲ
Cabal,አድማ
Cabbage,ጎመን
Cabin,ጎጆ ክፍል
Cabinet,ቁም ሳጥን 
Cable,ቴሌግራም አደረገ
Cacao,ካካዎ
Cache,የተደበቀበት ቦተ
Cackle,አስካካ
Cactus,የባሕር ቁልቋል
Cadaver,ሬሳ
Cadaverous,የጣረሞት
Cadence,ምት
Cadet,እጩ መኮነን
Cage,የሽቦ ቤት 
Cagey,ዘዴኛ
Cajole,ደለለ
Cake,ኬክ ብስኩት
Calamity,አደጋ 
Calculate,አሰላ 
Calculation,ሒሳብ
Calendar,የቀን መቁጠ ሪያ 
Calf,ጥጃ 
Calibre,የአፈሙዝ ስፋት 
Calico,ርካሽ ቀለማዊ ጌጣጌጥ ያሉት ከጥጥ የተሰራ ጨርቅ
Calk,በቅጥራን መረገ(ተመረገ)
Call,ጠራ (ተጣራ) 
Calligraphy,የቁም ፅሕፈት
Calling,ዝንባሌ 
Callous,ርኅራኄ የሌለው
Callus,መጅ
Calm,አረጋጋ 
Calumniate,አማ
Calumny,ሓሜት
Calve,ወለደ
Camel,ግመል
Camera,ካሜራ
Camouflage,ጠመንጃቸው ተለይቶ እንዳይታወቅ አረንጓዴ ቀለም ይቀቡታል
Camp,ሰፈረ
Campaign,ዘመቻ አደረገ
Campus,ምድረ ጊቢ
Can,በቆርቆሮ አሸገ
Canal,ቦይ
Canalize,በ ቦይ አገናኘ 
Cancel,አፈረሰ 
Cancer,የነቀርሳ በሽታ
Candid,ቅን
Candidate,ተወዳዳሪ 
Candle,ሻማ
Candlelight,ሻማ
Candlestick,የሻማ ማቆሚያ
Candy,ከረሜላ
Cane,በበትር መታ
Canine,የክራንቻ
Canker,የአፍ ቁስል
Canned,የቆርቆሮ የታሸገ
Cannibal,የሰው ስጋ የሚበላ ሰው
Cannon,መድፍ
Cannonade,የመድፍ እርምታ
Canny,ብልጥ
Canoe,ታንኳ
Canon,ሕግ 
Canopy,አጎበር 
Canteen,ኮዳ 
Canticle,መዝሙር
Canton,ግዛት
Canvas,ሸራ
Canvass,መረመረ 
Canyon,ሸለቆ
Cap,ሸፈነ 
Capability,ችሎታ
Capable,ችሎታ ያለው
Capacity,ሥልጣን 
Cape,ካባ 
Caper,ቦረቀ
Capital,ዋና ከተማ መገናኛ ከተማ 
Capitalism,ካፒታሊዝም
Capitalize,መደብ 
Capitulate,እጅ ሰጠ
Capitulation,እጅ መስጠት
Capricious,ሓሳቡን በየጊዜው ለዋወጠ
Capsize,ተገለበጠ
Capsule,ከምሱር
Captain,ሻምበል 
Caption,መግለጫ ፅሑፍ
Captivate,ማረከ
Captive,ምርኮኛ
Captivity,ምርኮኝነት ምርኮ
Capture,ማረከ 
Car,መኪና
Caramel,ከረሜላ
Caravan,ጉዞ 
Carcass,ጥንብ ጥምብ
Card,ነደፈ
Cardboard,ካርቶን
Cardiac,የልብ
Cardinal,ዓቢይ
Care,ፈለገ
Careen,አጋደለ
Career,ሥራ 
Carefree,የግዴለሽ
Careful,ጥንቁቅ 
Caress,ደባበሰ
Caretaker,ቤት ጠባቂ
Carfare,መሳፈርሪያ
Cargo,ጭነት
Caricature,አስቂኝ ስእል
Caries,መበስበስ
Carnage,እልቂት
Carnal,የስጋ
Carnival,ካርኒቫል
Carnivore,ሥጋ በል
Carnivorous,ሥጋ በል
Carol,የልደት መዝሙር
Carouse,ረበሸ
Carpenter,አናጢ
Carpentry,የአናጢነት ሙያ
Carpet,ስጋጃ ተነጠፈት
Carriage,ሰረገላ 
Carrier,የሚያመጣ
Carrion,ጥምብ ጥንብ
Carrot,ካሮት
Carry,ተሸከመ 
Cart,ጋሪ ተሳቢ
Cartography,የካርታ ሥራ
Carton,የካርቱን ሣጥን
Cartridge,ጥይት
Carve,ቀረፀ 
Cascade,ትንሽ ፏፏቴ
Case,ሣጥን 
Casement,የመስኮት ጠርዝ
Cash,መነዘረ
Cashier,ገንዘብ ተቀባይ
Casing,ሽፋን
Cask,ከዕጨት የተሠራ በርሜል
Casket,ትንሽ ሣጥን 
Cast,ጣለ 
Castaway,ተወ 
Caste,ኅብረእ ሰብአዊ ክፍል
Castigate,ክፉኛ ነቀፈ （ተነቀፈ）
Castle,ግንብ
Castrate,አኮላሸ 
Casual,የግዴለሽነት 
Casualty,ባደጋው የተጎዳ 
Cat,ድመት
Cataclysm,መቅሰፍት
Catacomb,የቃብር ዋሻ
Catafalque,በቀብር ሥርዓት ጊዜ ሬሳ የሚርፍበት ከፍ ያለ ነገር
Cataract,ፏፏቴ
Catarrh,ጉንፋን
Catastrophe,መቀሰፍት
Catch,ያዘ 
Catching,ተላላፊ በሽታ
Catchword,መላልሶ የሚያሰማው ቃል
Catchy,የሚያስደስት
Catechism,በጥያቄ መልስ መልክ የተዘጋጀ የሃይማኖት ማስተማርያ መፅሓፍ
Categorical,ቁርት ያለ
Category,ክፍል
Cater,ምግብና አገልግሎት ሰጠ
Caterpillar,አባ ጨጓሬ
Cathedral,ካቴድራል
Catholic,ካቶሊክ
Cattle,ከብት 
Cattleman,ከብት አርቢ
Cause,አ  አስ 
Caustic,የሚከነክን
Cauterize,ተኮሰ
Caution,አስጠነቀቀ
Cautious,ጥንቁቅ
Cavalry,ፈረሰኛ
Cavalryman,ፈረሰኛ
Cave,ተደረመሰ
Cavern,ዋሻ
Cavity,የተበሮበረ ጥርስ
Cease,አቆመ
Cedar,ጥድ
Cede,ለቀቀ
Ceiling,ቢላፎን 
Celebrate,አከበረ 
Celebrity,ዝነኛ ሰው ስመ ጥር
Celestial,የሰማይ 
Celibate,ድንግል 
Cell,ክፍል 
Cellar,ምድር ቤት
Cement,በሙጫ አያያዘ 
Cemetery,መካነ መቃብር
Censer,ጥና
Censor,መረመረ（ተመረመረ）
Censure,ገሰፀ
Census,ተግሳፅ
Cent,ሳንቲም
Centenary,መቶኛ ዓመት በዓል
Center,መኻል አዋለ 
Central,ማእከላዊ 
Centralize,ባንድ አስተዳደር ሥር አጠቃለለ
Century,ክፍለ ዘመን መቶ ዓመት
Cereal,እህል 
Ceremonial,የክብረበዓል 
Ceremonious,በአክብሮት
Ceremony,ሥነ ስርዓት 
Certain,አንዳድ 
Certainly,ፍፁም በፍፁም 
Certainty,የማይቀር 
Certificate,የምስክር ወረቀት
Certify,አረጋገጠ 
Certitude,ፍፁምነት
Chafe,እየፈገፈገ አሳመመ
Chaff,ቀለደ（በት）
Chagrin,ቅር አሰኘ
Chain,በሰንሰለት አሰረ
Chair,በሊቀ መንበርነት መራ
Chairman,ሊቀ መንበር
Chalk,ጠመኔ
Challenge,አልተቀበለም 
Chamber,ክፍል 
Chameleon,እስስት
Chamois,ፍየል የምታህል ድኩላ
Champion,ተጋደለ
Championship,አንደኝነት አሸናፊነት
Chance,ዕድል 
Change,ለወጠ 
Channel,አስተላለፈ 
Chant,ዘመረ
Chaos,ፍርስርስ 
Chap,ሰነጣጠቀ 
Chapel,የፀሎት ቤት
Chaplain,ቄስ
Chapter,ምዕራፍ 
Char,አሳረረ
Character,ጠባይ 
Characteristic,መለያ ባሕርይ
Characterize,ገመተ 
Charcoal,ከሰል
Charge,ጠየቀ አስከፈለ 
Chariot,ሰረገላ ጋሪ
Charitable,የበጎ አድራጊ 
Charity,ምጽዋት ችሮታ እርዳታ 
Charm,ማረከ
Charming,ደስ የሚል የደስ ደስ ያለው
Chart,ካርታ ሰሌዳ
Charter,ተኮናተረ
Charwoman,የቀን ሠራተኛ
Chase,አሳደደ 
Chasm,ገደል 
Chaste,ንጽሕት
Chastise,ቀጣ 
Chastity,ድንግልና
Chat,ተጫወተ አወጋ አወራ
Chatter,ለፈለፈ 
Chatterbox,ለፍላፊ
Chatty,ለፍላፊ
Chauffeur,ሾፌር
Cheap,ርካሽ 
Cheapen,አበላሸ 
Cheat,አታለለ
Cheater,አታላይ
Check,መረመረ 
Cheek,ጉንጭ
Cheer,ብእልልታና በጭብጨባ ተቀበለ 
Cheerful,አስደሳች 
Cheerless,ቀፋፊ
Cheery,አስደሳች
Cheese,አይብ ፎርማቶ
Chemical,የኬሚካል ቅመም
Chemistry,ኬሚስትሪ
Cherish,ከፍተኛ ዋጋ ሰጠ 
Cherub,ኪሩቤል
Chess,ሰንጠረዥ
Chest,ደረት 
Chew,አፕከ 
Chick,ጫጩት
Chicken,ዶሮ
Chide,ገሰፀ
Chief,አለቃ 
Chiefly,አብዛኛው 
Child,ልጅ
Childbed,አራስ ቤት
Childbirth,ልጅ መውለድ 
Childhood,የልጅነት ጊዜ ልጅነት
Childish,ሕፃን እንደ ሕፃን
Childlike,እንደ ሕፃን
Chill,አቀዘቀዘ 
Chilly,ቀዝቃዛ
Chime,ጮኸ
Chimney,የጭስ መውጫ
Chimpanzee,የዝንጀሮ ዓይነት
Chin,አገጭ
Chink,ክፍት ቦታ
Chip,ሸረፈ
Chirp,ጭውጭው አለ
Chisel,ቀረፀ
Chit-chat,ተራ ወሬ
Chocolate,ቸኮላታ
Choice,ምርጫ 
Choir,የመዝሙር ጓድ
Choke,አነቀ 
Choose,መረጠ 
Chop,ፈለጠ ቆረጠ 
Choppy,ተለዋዋጭ
Choral,በኅብረት
Chore,የሚያሰለች ሥራ 
Chorus,ሥራ
Chrestomathy,ከስነፅሁፍ የተውጣጡ ፅሑፎች
Christen,አጠመቀ 
Chronic,ልማደኛ 
Chronicle,ዜና መዋዕል
Chubby,ፋፋ
Chuckle,ሣቅ አለ
Chug,ድምፅ
Chunk,ቁራጭ 
Church,ቤተ ክርስቲያን 
Churchman,የቤተ ክርስትያን ካህን
Churchyard,የቤተ ክርስትያን ግቢ
Churn,ናጠ
Cider,የቱፋ ጭማቂ
Cigarette,ሲጃራ
Cinder,አመድ
Cinema,ሲኒማ
Cinnamon,ቀረፋ
Circa,ገደማ
Circle,በ ዙሪያ መሥመር አሠመረ 
Circuit,ዙሪያ 
Circular,ክብ 
Circulate,አሰራጨ 
Circulation,መዘዋወር 
Circumcise,ገረዘ（ተገረዘ）
Circumcision,ግርዘት ግዝረት
Circumference,ዙሪያ
Circumlocution,ዙሪያ ጥምጥም ንግግር
Circumnavigate,ብ ዙሪያ ተጓዘ
Circumscribe,ወሰነ（ተወሰነ） 
Circumspect,ጥንቁቅ
Circumstance,ነገር 
Circumstantial,አጋጣሚ 
Circumvent,በዘዴ 
Circus,ሰርከስ
Cistern,የውኃ ማጠራቀሚያ
Citadel,ምሽግ
Citation,ጥቅስ 
Cite,ጠቀሰ
Citizen,ዜጋ 
Citron,የሎሚ ዓይነት
City,ከተማ
Civet,ዝባድ
Civic,ሕዝባዊ የዜግነት 
Civil,ሕዝባዊ 
Civilian,ሲቪል
Civility,ትሕትና
Civilization,ሥልጣኔ 
Civilize,አሠለጠነ
Clack,አጋጨ 
Claim,ፈለገ 
Claimant,ይገባኛል ባይ
Clamber,በከባድ ትግል ወጣ
Clamp,የብረት ማጣበቂያ
Clan,ወገን
Clandestine,የሚስጢር
Clank,ተቃጨለ
Clap,አጨበጨበ 
Clarify,አብራራ 
Clarinet,ዋሽንት ቢጤ መሣርሪያ
Clarity,ግልፅ
Clash,አጋጨ 
Clasp,ያዘ 
Class,መደበ
Classic,ዓይነተኛ
Classical,የጥንት ሮምና ግሪክ
Classify,ለያየ 
Classmate,የክፍል ጓደኛ
Classroom,ክፍል
Clatter,አንኳኳ
Clause,አንቀፅ 
Clavicle,ብራኳ
Claw,በጥፍር ያዘ
Clay,ሸክላ ጭቃ
Clean,ጠረገ 
Cleaner,የልብስ ንፅሕና መስጫ 
Cleanly,መጸዳዳት የሚወድ
Cleanse,ታጠበ
Clear,ጠረገ 
Clearance,ፈቃድ 
Clearing,የተመነጠረ መሬት ምንጥር
Cleat,ፌሮ
Cleavage,አለመግባባት
Cleave,ፈለጠ 
Cleaver,ስለት ያለው ባለ አጭር እጀታ መሳሪያ
